Id,UntisId,SchoolclassId,TeacherId,Subject,Room,Day,PeriodNr
119,80,6AKKUI,ZEI,DIWE,A2.04,2,7
120,81,5AKKUI,HOH,DEST,A2.04,5,1
121,81,5AKKUI,HOH,DEST,A2.04,5,2
122,82,5AKKUI,STK,KGKP,A2.04,3,3
123,82,5AKKUI,STK,KGKP,A2.04,3,4
124,83,6AKKUI,HOH,DEST,A2.04,5,1
125,83,6AKKUI,HOH,DEST,A2.04,5,2
126,84,6AKKUI,STK,KGKP,A2.04,3,3
127,84,6AKKUI,STK,KGKP,A2.04,3,4
128,86,6AKKUI,HAD,KWI,A2.04,2,3
129,86,6AKKUI,HAD,KWI,A2.04,2,4
130,88,5AHKUI,BAE,KGKP,A2.13,3,1
131,88,5AHKUI,BAE,KGKP,A2.13,3,2
132,89,5AKKUI,VVL,TE1,A2.04,3,1
133,89,5AKKUI,VVL,TE1,A2.04,3,2
134,90,6AKKUI,VVL,TE1,A2.04,3,1
135,90,6AKKUI,VVL,TE1,A2.04,3,2
136,92,5AHKUI,VOG,WIRE,A2.13,3,7
137,92,5AHKUI,VOG,WIRE,A2.13,3,8
138,94,2AFIT,AMA,NWT1,B5.12,2,1
139,95,1AHIF,NIJ,SOPK,C4.14,4,6
140,95,1AHIF,PC,SOPK,C4.14,4,6
141,96,1CHIF,MAY,SOPK,C5.10,1,5
142,96,1CHIF,SO,SOPK,C5.10,1,5
143,97,2BHIF,LC,POS1,C3.09,4,1
144,98,1CHIF,SCG,POS1x,B4.15MF,1,1
145,98,1CHIF,SCG,POS1x,B4.15MF,1,2
146,98,1CHIF,SCG,POS1x,B4.15MF,1,3
147,98,1CHIF,SRM,POS1y,B4.16MF,1,1
148,98,1CHIF,SRM,POS1y,B4.16MF,1,2
149,98,1CHIF,SRM,POS1y,B4.16MF,1,3
150,98,1CHIF,PUZ,POS1z,B4.17MF,1,1
151,98,1CHIF,PUZ,POS1z,B4.17MF,1,2
152,98,1CHIF,PUZ,POS1z,B4.17MF,1,3
153,106,3BBIF,HAS,E1,C3.11,2,15
154,106,3BBIF,HAS,E1,C3.11,2,16
155,109,1EHIF,SAC,SOPK,C4.14,2,6
156,109,1EHIF,ZUM,SOPK,C4.14,2,6
157,110,1AFIT,HOM,NWG2,C2.14,2,2
158,111,1AFIT,NWV,INSYx,B3.08MF,1,3
159,111,1AFIT,NWV,INSYx,B3.08MF,1,4
160,111,1AFIT,NWV,INSYx,B3.08MF,1,5
161,111,1AFIT,IR,INSYy,B3.08MF,1,3
162,111,1AFIT,IR,INSYy,B3.08MF,1,4
163,111,1AFIT,IR,INSYy,B3.08MF,1,5
164,112,2AHIF,SCG,POS1x,C4.07,4,2
165,112,2AHIF,SCG,POS1x,C4.07,4,3
166,112,2AHIF,SCG,POS1x,C4.07,4,4
167,112,2AHIF,PUZ,POS1y,C4.07,4,2
168,112,2AHIF,PUZ,POS1y,C4.07,4,3
169,112,2AHIF,PUZ,POS1y,C4.07,4,4
170,113,1AFIT,NWV,MEDTx,B4.15MF,1,8
171,113,1AFIT,NWV,MEDTx,B4.15MF,1,9
172,113,1AFIT,RT,MEDTy,B4.17MF,1,8
173,113,1AFIT,RT,MEDTy,B4.17MF,1,9
174,114,2DHIF,NIJ,POS1x,C3.09,5,3
175,114,2DHIF,NIJ,POS1x,C3.09,5,4
176,114,2DHIF,NIJ,POS1x,C3.09,5,5
177,114,2DHIF,MIP,POS1y,C3.09,5,3
178,114,2DHIF,MIP,POS1y,C3.09,5,4
179,114,2DHIF,MIP,POS1y,C3.09,5,5
180,115,1BHIF,SCG,POS1x,B4.15MF,2,1
181,115,1BHIF,SCG,POS1x,B4.15MF,2,2
182,115,1BHIF,SCG,POS1x,B4.15MF,2,3
183,115,1BHIF,PUZ,POS1y,B4.16MF,2,1
184,115,1BHIF,PUZ,POS1y,B4.16MF,2,2
185,115,1BHIF,PUZ,POS1y,B4.16MF,2,3
186,115,1BHIF,JEL,POS1z,B4.17MF,2,1
187,115,1BHIF,JEL,POS1z,B4.17MF,2,2
188,115,1BHIF,JEL,POS1z,B4.17MF,2,3
189,117,2AHMNA,BEC,MPAN,A3.13,2,6
190,117,2AHMNA,BEC,MPAN,A3.13,2,7
191,117,2AHMNA,LAM,MPAN,A3.13,2,6
192,117,2AHMNA,LAM,MPAN,A3.13,2,7
193,118,5ACMNA,HAM,MTIN,A3.19,1,11
194,118,5ACMNA,HAM,MTIN,A3.19,1,12
195,118,5ACMNA,DOB,MTIN,A3.19,1,11
196,118,5ACMNA,DOB,MTIN,A3.19,1,12
197,119,5ACMNA,SCR,MTIN,A3.19,3,13
198,119,5ACMNA,SCR,MTIN,A3.19,3,14
199,119,5ACMNA,HIL,MTIN,A3.19,3,13
200,119,5ACMNA,HIL,MTIN,A3.19,3,14
201,120,5ACMNA,KNT,MTKG,A3.19,2,13
202,120,5ACMNA,KNT,MTKG,A3.19,2,14
203,121,5ACMNA,SJ,MTKG,A3.19,2,13
204,121,5ACMNA,SJ,MTKG,A3.19,2,14
205,122,5ACMNA,SCJ,MGAN,A3.19,1,13
206,122,5ACMNA,SCJ,MGAN,A3.19,1,14
207,122,5ACMNA,SCJ,MGAN,A3.19,1,15
208,122,5ACMNA,FER,MGAN,A3.19,1,13
209,122,5ACMNA,FER,MGAN,A3.19,1,14
210,122,5ACMNA,FER,MGAN,A3.19,1,15
211,123,5ACMNA,BIN,MGAN,A3.19,2,15
212,123,5ACMNA,BIN,MGAN,A3.19,2,16
213,123,5ACMNA,TRM,MGAN,A3.19,2,15
214,123,5ACMNA,TRM,MGAN,A3.19,2,16
215,124,2AHMNA,KDC,GGP,A3.13,3,1
216,124,2AHMNA,KDC,GGP,A3.13,3,2
217,126,4AHIF,SWH,NVS1x,B3.11NW,1,9
218,126,4AHIF,SWH,NVS1x,B3.11NW,1,10
219,126,4AHIF,KEM,NVS1y,B3.12NW,1,9
220,126,4AHIF,KEM,NVS1y,B3.12NW,1,10
221,127,1AHIF,HOV,TINF_1,C4.14,3,1
222,136,1AHIF,NIJ,POS1,C5.09,4,2
223,136,1AHIF,NIJ,POS1,C5.09,4,3
224,137,1BHIF,HOV,POS1,C5.09,5,2
225,137,1BHIF,HOV,POS1,C5.09,5,3
226,138,1CHIF,SCG,POS1,C5.10,2,7
227,138,1CHIF,SCG,POS1,C5.10,2,8
228,139,2AHMNA,KY,AM,A3.13,1,6
229,139,2AHMNA,KY,AM,A3.13,1,7
230,140,1EHIF,SK,POS1,C4.14,1,1
231,140,1EHIF,SK,POS1,C4.14,1,2
232,141,1EHIF,PUZ,POS1x,B4.15MF,2,9
233,141,1EHIF,PUZ,POS1x,B4.15MF,2,10
234,141,1EHIF,PUZ,POS1x,B4.15MF,2,11
235,141,1EHIF,SK,POS1y,B3.07MM,2,9
236,141,1EHIF,SK,POS1y,B3.07MM,2,10
237,141,1EHIF,SK,POS1y,B3.07MM,2,11
238,141,1EHIF,LC,POS1z,B4.17MF,2,9
239,141,1EHIF,LC,POS1z,B4.17MF,2,10
240,141,1EHIF,LC,POS1z,B4.17MF,2,11
241,142,2DHIF,NIJ,POS1,C5.10,4,7
242,143,2CHIF,MIP,POS1,C4.08,4,1
243,144,1AVIF,MAY,GINF,B3.08MF,2,15
244,144,1AVIF,MAY,GINF,B3.08MF,2,16
245,144,1AVIF,MOH,GINF,B3.08MF,2,15
246,144,1AVIF,MOH,GINF,B3.08MF,2,16
247,145,4AHWIT,BI,RK,A1.05,1,8
248,146,1AO,SEM,E1,C2.11,1,4
249,146,1AO,SEM,E1,C2.11,2,7
250,146,1AO,SEM,E1,C2.11,4,6
251,147,1AO,SEM,E1,C2.11,1,5
252,147,1AO,SEM,E1,C2.11,3,3
253,147,1AO,SEM,E1,C2.11,3,4
254,148,1AO,OEM,GUG,C2.11,3,9
255,148,1AO,OEM,GUG,C2.11,3,10
256,150,1AO,PUH,NWG,C5.06,5,4
257,151,1AO,PUH,NWG,DE.03,3,6
258,179,3BBIF,SB,AM,C3.14,1,12
259,179,3BBIF,SB,AM,C3.14,1,13
260,179,3BBIF,SB,AM,C3.14,4,15
261,179,3BBIF,SB,AM,C3.14,4,16
262,180,3BBIF,PUE,PRE,C3.14,4,13
263,180,3BBIF,PUE,PRE,C3.14,4,14
264,188,2BHIF,HOV,TINF_1,C5.09,3,8
265,188,2BHIF,HOV,TINF_1,C5.09,3,9
266,189,2AHIF,AMA,NVS1,B3.12NW,3,1
267,189,2AHIF,AMA,NVS1,B3.12NW,3,2
268,190,2BHIF,HW,NVS1,B3.11NW,5,3
269,190,2BHIF,HW,NVS1,B3.11NW,5,4
270,191,2AHIF,AMA,NVS1x,B3.11NW,3,1
271,191,2AHIF,AMA,NVS1x,B3.11NW,3,2
272,191,2AHIF,SKO,NVS1y,B3.12NW,3,1
273,191,2AHIF,SKO,NVS1y,B3.12NW,3,2
274,192,2CHIF,KEM,NVS1,B3.11NW,1,7
275,192,2CHIF,KEM,NVS1,B3.11NW,1,8
276,193,2AHIF,SWA,SOPK,C4.07,4,1
277,193,2AHIF,SO,SOPK,C4.07,4,1
278,194,2CHIF,MIP,SOPK,C4.08,4,2
279,194,2CHIF,GRM,SOPK,C4.08,4,2
280,197,1AHBGM,BW,MGT,C2.10,4,4
281,197,1AHBGM,BW,MGT,C2.10,4,5
282,198,1AHBGM,HEB,GOM3,C2.10,5,3
283,198,1AHBGM,HEB,GOM3,C2.10,5,4
284,199,1AHBGM,BAR,BMG2,C2.10,2,5
285,199,1AHBGM,BAR,BMG2,C2.10,3,5
286,200,1AHBGM,CSR,NW2,AH.32,2,1
287,200,1AHBGM,CSR,NW2,C2.10,4,1
288,200,1AHBGM,CSR,NW2,C2.10,4,2
289,201,1AHBGM,RR,MGIN,C2.10,2,2
290,202,1AHBGM,ZEP,MGINx,B3.08MF,3,2
291,202,1AHBGM,ZEP,MGINx,B3.08MF,3,3
292,202,1AHBGM,ZEP,MGINx,B3.08MF,3,4
293,202,1AHBGM,RR,MGINy,B3.08MF,3,2
294,202,1AHBGM,RR,MGINy,B3.08MF,3,3
295,202,1AHBGM,RR,MGINy,B3.08MF,3,4
296,203,5ABKUF,FER,TEPH,A3.14,4,11
297,203,5ABKUF,FER,TEPH,A3.14,4,12
298,204,5ABKUF,SCJ,MDSG,A3.14,1,11
299,204,5ABKUF,SCJ,MDSG,A3.14,1,12
300,205,5ABKUF,TRM,MUL1,A3.14,3,14
301,205,5ABKUF,TRM,MUL1,A3.14,3,15
302,205,5ABKUF,ERS,MUL1,A3.14,3,14
303,205,5ABKUF,ERS,MUL1,A3.14,3,15
304,206,6ABKUF,HAM,TEPH,A3.14,4,11
305,206,6ABKUF,HAM,TEPH,A3.14,4,12
306,207,6ABKUF,SCJ,MDSG,A3.14,1,11
307,207,6ABKUF,SCJ,MDSG,A3.14,1,12
308,208,6ABKUF,ERS,MUL1,A3.14,3,14
309,208,6ABKUF,ERS,MUL1,A3.14,3,15
310,208,6ABKUF,TRM,MUL1,A3.14,3,14
311,208,6ABKUF,TRM,MUL1,A3.14,3,15
312,209,6ABKUF,NOA,MUL1,A3.14,4,13
313,209,6ABKUF,NOA,MUL1,A3.14,4,14
314,209,6ABKUF,NOA,MUL1,A3.14,4,15
315,209,6ABKUF,NOA,MUL1,A3.14,4,16
316,210,6ABKUF,SJ,EKPR,A3.14,1,13
317,210,6ABKUF,SJ,EKPR,A3.14,1,14
318,211,2AHIF,IR,TINF_1,B3.08MF,1,1
319,211,2AHIF,IR,TINF_1,B3.08MF,1,2
320,212,1AVIF,SW,AM,C3.14,2,11
321,212,1AVIF,SW,AM,C3.14,2,12
322,212,1AVIF,SW,AM,C2.14,4,11
323,212,1AVIF,SW,AM,C2.14,4,12
324,214,1AVIF,SCM,COPR,B4.15MF,1,11
325,214,1AVIF,SCM,COPR,B4.15MF,1,12
326,214,1AVIF,SCM,COPR,B4.15MF,1,13
327,214,1AVIF,SCM,COPR,B4.15MF,1,14
328,214,1AVIF,SCM,COPR,B4.15MF,1,15
329,214,1AVIF,SCM,COPR,B4.15MF,1,16
330,215,5ACMNA,JAD,MPAN,A3.19,4,13
331,215,5ACMNA,JAD,MPAN,A3.19,4,14
332,215,5ACMNA,JIM,MPAN,A3.19,4,13
333,215,5ACMNA,JIM,MPAN,A3.19,4,14
334,216,5AHKUI,HOH,EW1,A2.13,1,8
335,216,5AHKUI,HOH,EW1,A2.13,1,9
336,216,5AHKUI,HOH,EW1,A2.13,1,10
337,216,5AHKUI,DVO,EW1,A2.13,1,8
338,216,5AHKUI,DVO,EW1,A2.13,1,9
339,216,5AHKUI,DVO,EW1,A2.13,1,10
340,218,5AKKUI,POD,EWD,A2.04,5,3
341,218,5AKKUI,POD,EWD,A2.04,5,4
342,218,5AKKUI,POD,EWD,A2.04,5,5
343,218,5AKKUI,VVL,EWD,A2.04,5,3
344,218,5AKKUI,VVL,EWD,A2.04,5,4
345,218,5AKKUI,VVL,EWD,A2.04,5,5
346,219,6AKKUI,TOM,DAT,A2.04,3,6
347,219,6AKKUI,TOM,DAT,A2.04,3,7
348,219,6AKKUI,TOM,DAT,A2.04,3,8
349,219,6AKKUI,TOM,DAT,A2.04,3,9
350,219,6AKKUI,PRK,DAT,A2.04,3,6
351,219,6AKKUI,PRK,DAT,A2.04,3,7
352,219,6AKKUI,PRK,DAT,A2.04,3,8
353,219,6AKKUI,PRK,DAT,A2.04,3,9
354,220,5ACMNA,SCR,MPAN,A3.19,3,15
355,220,5ACMNA,SCR,MPAN,A3.19,3,16
356,220,5ACMNA,HIL,MPAN,A3.19,3,15
357,220,5ACMNA,HIL,MPAN,A3.19,3,16
358,221,5ABKUF,TRM,STK,A3.14,1,13
359,221,5ABKUF,TRM,STK,A3.14,1,14
360,224,3AHMNA,MUI,E1y,A3.05,4,1
361,224,3AHMNA,MUI,E1y,A3.05,5,1
362,224,3AHMNA,KNJ,E1x,A3.13,4,1
363,224,3AHMNA,KNJ,E1x,A3.13,5,1
364,333,1AO,CSR,NWG,C2.11,2,3
365,334,3BHIF,WK,POS1,C3.14,4,7
366,334,3BHIF,WK,POS1,C3.14,4,8
367,335,3BHIF,AMA,NVS1x,B3.12NW,2,5
368,335,3BHIF,AMA,NVS1x,B3.12NW,2,6
369,335,3BHIF,HW,NVS1y,B3.12NW,2,5
370,335,3BHIF,HW,NVS1y,B3.12NW,2,6
371,336,1AFIT,NWV,SOPK,C2.14,2,4
372,336,1AFIT,SO,SOPK,C2.14,2,4
373,338,1BVIF,STH,E1,C2.08,2,11
374,338,1BVIF,STH,E1,C2.08,2,12
375,338,1BVIF,STH,E1,C3.06,3,11
376,338,1BVIF,STH,E1,C3.06,3,12
377,338,1BVIF,MUE,E1,C2.06,2,11
378,338,1BVIF,MUE,E1,C2.06,2,12
379,338,1BVIF,MUE,E1,C2.08,3,11
380,338,1BVIF,MUE,E1,C2.08,3,12
381,340,1BVIF,PUA,GINF,C2.07,3,8
382,341,1BVIF,MAY,GINF,B3.10MF,5,8
383,341,1BVIF,MAY,GINF,B3.10MF,5,9
384,341,1BVIF,MOH,GINF,B3.10MF,5,8
385,341,1BVIF,MOH,GINF,B3.10MF,5,9
386,343,1BVIF,SUN,COPR,B3.07MM,4,11
387,343,1BVIF,SUN,COPR,B3.07MM,4,12
388,343,1BVIF,SUN,COPR,B3.07MM,4,13
389,343,1BVIF,SUN,COPR,B3.07MM,4,14
390,343,1BVIF,SUN,COPR,B3.07MM,4,15
391,343,1BVIF,SUN,COPR,B3.07MM,4,16
392,351,3BBIF,EN,TINF_1,C3.14,3,13
393,351,3BBIF,EN,TINF_1,C3.14,3,14
394,352,3BBIF,SAB,COPR,B2.09HW,1,14
395,352,3BBIF,SAB,COPR,B2.09HW,1,15
396,352,3BBIF,SAB,COPR,B2.09HW,1,16
397,352,3BBIF,SUN,COPR,B3.06MF,1,14
398,352,3BBIF,SUN,COPR,B3.06MF,1,15
399,352,3BBIF,SUN,COPR,B3.06MF,1,16
400,352,3BBIF,PRR,COPR,B1.15HW,1,14
401,352,3BBIF,PRR,COPR,B1.15HW,1,15
402,352,3BBIF,PRR,COPR,B1.15HW,1,16
403,353,3BBIF,SE,POS1,B3.08MF,2,12
404,353,3BBIF,SE,POS1,B3.08MF,2,13
405,353,3BBIF,MOH,POS1,B3.08MF,2,12
406,353,3BBIF,MOH,POS1,B3.08MF,2,13
407,354,3BBIF,SE,POS1,B3.08MF,2,11
408,355,3BBIF,CHA,POS1,C3.14,1,11
409,356,3BBIF,WES,DBI1,B4.12MM,3,11
410,356,3BBIF,WES,DBI1,B4.12MM,3,12
411,356,3BBIF,MIP,DBI1,B4.14MF,3,11
412,356,3BBIF,MIP,DBI1,B4.14MF,3,12
413,357,3BBIF,ENU,BWM,C3.14,4,11
414,357,3BBIF,ENU,BWM,C3.14,4,12
415,369,3ACIF,PRR,COPR,B1.15HW,2,12
416,369,3ACIF,PRR,COPR,B1.15HW,2,13
417,369,3ACIF,PRR,COPR,B1.15HW,2,14
418,369,3ACIF,PRR,COPR,B1.15HW,2,15
419,369,3ACIF,PRR,COPR,B1.15HW,2,16
420,369,3ACIF,SUN,COPR,B2.10HW,2,12
421,369,3ACIF,SUN,COPR,B2.10HW,2,13
422,369,3ACIF,SUN,COPR,B2.10HW,2,14
423,369,3ACIF,SUN,COPR,B2.10HW,2,15
424,369,3ACIF,SUN,COPR,B2.10HW,2,16
425,369,3ACIF,SCM,COPR,B4.12MM,2,12
426,369,3ACIF,SCM,COPR,B4.12MM,2,13
427,369,3ACIF,SCM,COPR,B4.12MM,2,14
428,369,3ACIF,SCM,COPR,B4.12MM,2,15
429,369,3ACIF,SCM,COPR,B4.12MM,2,16
430,370,3ACIF,CHA,TINF_1,B5.09,4,15
431,370,3ACIF,CHA,TINF_1,B5.09,4,16
432,371,3ACIF,GT,DBI1,B3.10MF,3,13
433,371,3ACIF,GT,DBI1,B3.10MF,3,14
434,371,3ACIF,WES,DBI1,B3.10MF,3,13
435,371,3ACIF,WES,DBI1,B3.10MF,3,14
436,372,3ACIF,GT,POS1,B3.08MF,4,13
437,372,3ACIF,GT,POS1,B3.08MF,4,14
438,372,3ACIF,SE,POS1,B3.08MF,4,13
439,372,3ACIF,SE,POS1,B3.08MF,4,14
440,373,3ACIF,BF,POS1,B5.09,3,11
441,373,3ACIF,BF,POS1,B5.09,3,12
442,374,3ACIF,HB,TINF_1,B5.09,1,12
443,374,3ACIF,HB,TINF_1,B5.09,1,13
444,374,3ACIF,PRR,TINF_1,B5.09,1,12
445,374,3ACIF,PRR,TINF_1,B5.09,1,13
446,375,3ACIF,OM,NVS1,B3.12NW,3,15
447,375,3ACIF,OM,NVS1,B3.12NW,3,16
448,375,3ACIF,SCM,NVS1,B3.12NW,3,15
449,375,3ACIF,SCM,NVS1,B3.12NW,3,16
450,384,3ACIF,PUE,PRE,B5.09,4,11
451,384,3ACIF,PUE,PRE,B5.09,4,12
452,385,3ACIF,ENU,BWM,B5.09,1,15
453,385,3ACIF,ENU,BWM,B5.09,1,16
454,388,1AHWIT,GRB,PMM,A1.06,2,11
455,388,1AHWIT,GRB,PMM,A1.05,5,5
456,391,1AHWIT,STM,NW2,A1.05,1,1
457,391,1AHWIT,STM,NW2,A1.05,1,2
458,391,1AHWIT,STM,NW2,A1.05,3,3
459,392,1AHWIT,STM,SOPK,A1.05,2,4
460,392,1AHWIT,SIL,SOPK,A1.05,2,4
461,393,1BHWIT,GAL,E1x,A1.06,1,1
462,393,1BHWIT,GAL,E1x,A1.15,5,5
463,393,1BHWIT,GRM,E1y,A2.05,1,1
464,393,1BHWIT,GRM,E1y,A1.16,5,5
465,394,1BHWIT,BV,GGP,A1.06,4,1
466,394,1BHWIT,BV,GGP,A1.06,4,2
467,395,1BHWIT,NI,NW2,A1.06,1,3
468,395,1BHWIT,NI,NW2,AH.32,1,4
469,395,1BHWIT,NI,NW2,AH.32,3,9
470,397,1BHWIT,ZOC,BET,A1.06,3,4
471,397,1BHWIT,ZOC,BET,C2.07,5,4
472,398,1BHWIT,GRB,PMM,A1.06,5,7
473,398,1BHWIT,GRB,PMM,A1.06,5,8
474,399,1BHWIT,MAH,WPT_3,DE.19L,5,1
475,399,1BHWIT,MAH,WPT_3,DE.19L,5,2
476,399,1BHWIT,MAH,WPT_3,DE.19L,5,3
477,399,1BHWIT,WAA,WPT_3,DE.09L,5,1
478,399,1BHWIT,WAA,WPT_3,DE.09L,5,2
479,399,1BHWIT,WAA,WPT_3,DE.09L,5,3
480,399,1BHWIT,STM,WPT_3,B2.06L,5,1
481,399,1BHWIT,STM,WPT_3,B2.06L,5,2
482,399,1BHWIT,STM,WPT_3,B2.06L,5,3
483,403,2AHBGM,PRS,E1,C3.07,1,9
484,403,2AHBGM,PRS,E1,C2.09,3,8
485,404,2AHBGM,HOM,AM,C2.09,2,8
486,404,2AHBGM,HOM,AM,C2.09,3,7
487,404,2AHBGM,HOM,AM,C2.09,4,3
488,404,2AHBGM,HOM,AM,C2.09,4,4
489,405,2AHBGM,PRE,NW2,DE.03,1,3
490,405,2AHBGM,PRE,NW2,C2.09,1,4
491,405,2AHBGM,PRE,NW2,DE.03,2,5
492,406,2AHBGM,BW,SOPK,C2.09,4,1
